 name Fire Water Grass Electric Psychic Steel Normal Fairy Dark Flying Ghost Poison Ice Ground Rock Dragon Fighting Bug
0 Bulbasaur 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 Ivysaur 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 Venusaur 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "VenusaurMega Venusaur" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 Charmander 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 Charmeleon 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 Charizard 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "CharizardMega Charizard X" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "CharizardMega Charizard Y" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 Squirtle 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 Wartortle 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 Blastoise 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 "BlastoiseMega Blastoise" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 Caterpie 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14 Metapod 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
15 Butterfree 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
16 Weedle 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
17 Kakuna 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
18 Beedrill 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
19 "BeedrillMega Beedrill" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
20 Pidgey 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 Pidgeotto 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
22 Pidgeot 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 "PidgeotMega Pidgeot" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 Rattata 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 Raticate 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
26 Spearow 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27 Fearow 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
28 Ekans 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
29 Arbok 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
30 Pikachu 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 Raichu 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 Sandshrew 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
33 Sandslash 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
34 Nidoran♀ 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
35 Nidorina 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
36 Nidoqueen 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
37 Nidoran♂ 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
38 Nidorino 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
39 Nidoking 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
40 Clefairy 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
41 Clefable 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
42 Vulpix 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
